kedb_parent_name,kedb_child_name,app_name,old_kedb,new_symtom_kedb,new_specific_symtom_kedb,kedb_finalisasi,action,responsibility_action,sop
,,DSC,,,,[]DSC[]Ebill_CheckEmail[]ValidateLog[]Complaint,,,
,,DSC,,,,[]DSC[]Ebill_EmailTidakDiterima[]ResendEbill[]Complaint,,,
,,DSC,,,,[]DSC[]Ebill_EmailTidakDiterima[]ValidateLog[]Complaint,,,
,,DSC,,,,[]DSC[]Ebill_FormatTidakSesuai[]UpdateEbill[]Complaint,,,
,,DSC,,,,[]DSC[]Ebill_KendalaAktivasi[]ValidateLog[]Complaint,,,
,,DSC,,,,[]DSC[]Ebill_KendalaPIN[]ValidateLog[]Complaint,,,
,,DSC,,,,[]DSC[]Gagal_Add_Offer_Limit_CLS[]Check_CLS_toTC[]Complaint,,,
,,DSC,,,,[]DSC[]Gagal_Add_Offer_PopUp_Error[]Validate_Log[]Complaint,,,
,,DSC,,,,[]DSC[]Gagal_Add_Offer_Tidak_Muncul[]Check_Eligible_toESB[]Complaint,,,
,,DSC,,,,[]DSC[]Gagal_Change_Primary[]Check_Log_ChangePrimary[]Complaint,,,
,,DSC,,,,[]DSC[]Gagal_Change_Primary[]Offer_Mengarah_BA_Lain[]Complaint,,,
,,DSC,,,,[]DSC[]Gagal_ChangeOwnership[]Offer_Mengarah_BA_Lain[]Complaint,,,
,,DSC,,,,"[]DSC[]Gagal_ChangeOwnership_msisdn memiliki active child[]Check_Log_CheckPrimaryNumber[]Complaint",,,
,,DSC,,,,[]DSC[]Gagal_PSB[]ValidateLog_PopUpError[]Complaint,,,
,,DSC,,,,[]DSC[]Gagal_PSBWEB_Stuck[]ValidateLog[]Complaint,,,
,,DSC,,,,[]DSC[]Gagal_Remove_Offer[]OrderSuccess_OfferMasihActive[]Complaint,,,
,,DSC,,,,[]DSC[]Gagal_Remove_Offer_Limit_CLS[]Check_CLS_toTC[]Complaint,,,
,,DSC,,,,[]DSC[]Gagal_Remove_Offer_PopUp_Error[]Validate_Log[]Complaint,,,
